benchmark,condition,noise_level,method,task_macro_success,success_ci_lower,success_ci_upper,worst_quartile_success,task_macro_intervention,recovery_occupancy_mean,delta_vs_act,delta_ci_lower,delta_ci_upper,task_count,episodes_per_task
MT10,robustness_noise_00,0.0,MT-MLP BC,0.942,0.924,0.96,0.8066666666666666,0.0,0.0,-0.03200000000000003,-0.052000000000000005,-0.013999999999999999,10,50
MT10,robustness_noise_00,0.0,MT-ACT,0.974,0.9600000000000002,0.986,0.9133333333333334,0.0,0.0,,,,10,50
MT10,robustness_noise_00,0.0,MT-ACT + Heuristic-Gated Learned Recovery,0.9800000000000001,0.968,0.99,0.9333333333333332,0.23400000000000004,0.14161108977274958,0.006000000000000116,-0.01,0.022,10,50
MT10,robustness_noise_00,0.0,MT-REIM,0.976,0.9620000000000001,0.9879999999999999,0.9199999999999999,0.45999999999999996,0.1869782560797366,0.0020000000000000018,0.0,0.006,10,50
MT10,robustness_noise_10,0.1,MT-MLP BC,0.033999999999999996,0.02,0.05,0.0,0.0,0.0,-0.01800000000000001,-0.038,0.003999999999999999,10,50
MT10,robustness_noise_10,0.1,MT-ACT,0.052000000000000005,0.036,0.068,0.0,0.0,0.0,,,,10,50
MT10,robustness_noise_10,0.1,MT-ACT + Heuristic-Gated Learned Recovery,0.49800000000000005,0.46399999999999997,0.532,0.12666666666666668,0.8099999999999999,0.49273959063687484,0.44600000000000006,0.41200000000000003,0.4800000000000001,10,50
MT10,robustness_noise_10,0.1,MT-REIM,0.4539999999999999,0.42400000000000004,0.48200000000000004,0.03333333333333333,0.7619999999999999,0.3735224968248633,0.4019999999999999,0.374,0.42800000000000005,10,50
MT10,robustness_noise_20,0.2,MT-MLP BC,0.032,0.018,0.04604999999999928,0.0,0.0,0.0,-0.027999999999999997,-0.05,-0.005999999999999998,10,50
MT10,robustness_noise_20,0.2,MT-ACT,0.06,0.044,0.078,0.0,0.0,0.0,,,,10,50
MT10,robustness_noise_20,0.2,MT-ACT + Heuristic-Gated Learned Recovery,0.506,0.472,0.538,0.12666666666666668,0.8019999999999999,0.48832187088035445,0.446,0.41000000000000003,0.48200000000000004,10,50
MT10,robustness_noise_20,0.2,MT-REIM,0.53,0.5039999999999999,0.558,0.04666666666666666,0.834,0.5264849344380168,0.47000000000000003,0.442,0.49800000000000005,10,50
MT10,robustness_noise_30,0.3,MT-MLP BC,0.036000000000000004,0.022,0.052000000000000005,0.0,0.0,0.0,-0.021999999999999992,-0.042,0.0,10,50
MT10,robustness_noise_30,0.3,MT-ACT,0.057999999999999996,0.041999999999999996,0.074,0.0,0.0,0.0,,,,10,50
MT10,robustness_noise_30,0.3,MT-ACT + Heuristic-Gated Learned Recovery,0.49000000000000005,0.45795000000000025,0.524,0.09333333333333334,0.798,0.48368446502700707,0.43200000000000005,0.398,0.466,10,50
MT10,robustness_noise_30,0.3,MT-REIM,0.584,0.558,0.6100000000000001,0.08666666666666667,0.8859999999999999,0.6068614264840605,0.526,0.5,0.5539999999999999,10,50
MT10,robustness_noise_40,0.4,MT-MLP BC,0.036,0.022,0.052000000000000005,0.0,0.0,0.0,-0.024,-0.046,-0.002,10,50
MT10,robustness_noise_40,0.4,MT-ACT,0.06,0.044,0.078,0.0,0.0,0.0,,,,10,50
MT10,robustness_noise_40,0.4,MT-ACT + Heuristic-Gated Learned Recovery,0.46399999999999997,0.43199999999999994,0.4979999999999999,0.07333333333333333,0.78,0.4774730155305593,0.40399999999999997,0.37,0.438,10,50
MT10,robustness_noise_40,0.4,MT-REIM,0.63,0.6020000000000001,0.656,0.12666666666666668,0.9339999999999999,0.6921344178884319,0.5700000000000001,0.542,0.5980000000000001,10,50
MT50,robustness_noise_00,0.0,MT-MLP BC,0.8147999999999999,0.8036000000000003,0.8260000000000001,0.41538461538461535,0.0,0.0,-0.10160000000000002,-0.11440000000000002,-0.0888,50,50
MT50,robustness_noise_00,0.0,MT-ACT,0.9163999999999999,0.9083999999999999,0.9243999999999997,0.6907692307692308,0.0,0.0,,,,50,50
MT50,robustness_noise_00,0.0,MT-ACT + Heuristic-Gated Learned Recovery,0.94,0.9323999999999999,0.9475999999999999,0.7707692307692308,0.17800000000000002,0.1062875599018241,0.023600000000000065,0.0164,0.030400000000000003,50,50
MT50,robustness_noise_00,0.0,MT-REIM,0.9224,0.9144,0.9304000000000001,0.7138461538461538,0.2864,0.16831405652800993,0.006000000000000116,0.0004000000000000009,0.0116,50,50
MT50,robustness_noise_10,0.1,MT-MLP BC,0.0032,0.0012,0.005600000000000001,0.0,0.0,0.0,-0.014800000000000002,-0.02,-0.01,50,50
MT50,robustness_noise_10,0.1,MT-ACT,0.018000000000000002,0.013600000000000001,0.022400000000000003,0.0,0.0,0.0,,,,50,50
MT50,robustness_noise_10,0.1,MT-ACT + Heuristic-Gated Learned Recovery,0.35840000000000005,0.34319999999999995,0.37359999999999993,0.0753846153846154,0.9388,0.6089455073949833,0.34040000000000004,0.32520000000000004,0.35600000000000004,50,50
MT50,robustness_noise_10,0.1,MT-REIM,0.3488,0.33559999999999995,0.3624,0.015384615384615385,0.8583999999999999,0.4508627892431893,0.3308,0.3172,0.34440000000000004,50,50
MT50,robustness_noise_20,0.2,MT-MLP BC,0.0032,0.0012,0.005600000000000001,0.0,0.0,0.0,-0.013600000000000003,-0.0184,-0.0088,50,50
MT50,robustness_noise_20,0.2,MT-ACT,0.016800000000000002,0.012400000000000001,0.0212,0.0,0.0,0.0,,,,50,50
MT50,robustness_noise_20,0.2,MT-ACT + Heuristic-Gated Learned Recovery,0.3596000000000001,0.3444,0.3752,0.07538461538461538,0.9388000000000001,0.608099469350088,0.3428000000000001,0.32760000000000006,0.3579999999999999,50,50
